Montaigne | Denemeler | Deneme |  | - | Deneme türünün ilk örneğidir. Yazar bu eserinde insanlara ders vermeden doğruları göstermeye çalışır. "Ben ne biliyorum?" sorusunu merkeze alarak şüpheciliği, özgür düşünceyi ve öz eleştiriyi savunmuştur. Felsefeyi günlük hayatın deneyimleriyle birleştirir. Sabahattin Eyüboğlu tarafından Türkçeye çevrilmiştir. | Montaigne (16. yy), deneme türünün öncüsüdür. Hümanizm ve Klasisizm akımına bağlıdır. Modern anlamda "deneme" türünün kurucusu kabul edilir. Bireyin iç dünyasına yönelmiş, felsefeyi günlük hayatın deneyimleriyle birleştirmiştir.
Stendhal | Parma Manastırı | Roman |  | - | İtalya'da geçen, siyasi entrikalar ve aşk etrafında dönen romanıdır. | -
Gustave Flaubert | Madame Bovary | Roman |  | - | Ayakları yere basmayan hayallerine ulaşmak için çabalayan Emma Bovary'nin trajik hayat hikâyesi anlatılır. Emma, sıkıcı kasaba hayatında kocası Charles'ta bulamadığı mutluluğu başka erkeklerde arar ve sonunda intihar eder. Yayımlandığında Fransız hükûmeti tarafından genel ahlaka aykırı bulunarak yazarı yargılanmıştır. Tolstoy'un Anna Karenina'sı ve Halit Ziya'nın Aşk-ı Memnu'su ile evli kadınların yasak aşklarını anlatmalarıyla bilinir. | Gustave Flaubert (19. yy), Realizmin kurucusu kabul edilen Fransız yazardır. Gözlemci gerçekçiliğin öncüsüdür.
Gustave Flaubert | Salambo | Roman |  | - | Kartacalı komutan Hamilkar'ın kızı Salambo ile paralı askerlerin elebaşısı Matho arasındaki gönül ilişkisi etrafında Kartacalılar ile paralı askerler arasındaki savaşın anlatıldığı tarihi romandır. | -
Gustave Flaubert | Duygusal Eğitim | Roman |  | - | 1848 Devrimi öncesi Paris'te yaşayan genç bir adamın aşk ve hayal kırıklıklarını anlatır. | -
Gustave Flaubert | Üç Hikâye | Hikâye |  | - | Farklı dönemlerde geçen üç uzun hikâyeden oluşur. | -
Emile Zola | Germinal | Roman |  | - | 1860'larda Fransa'nın kuzeyinde maden işçilerinin zorlu yaşam mücadelesini ve grevlerini anlatır. İşçi ve sermaye sınıfının çatışmasının ortasında kalan bir aile ile Etienne ve Catherine arasındaki aşk da anlatılır. Natüralizmin önemli örneklerindendir. | Emile Zola (19. yy), Natüralizmin kurucusudur. Edebiyatı bilimsel metotlara uydurmaya çalışır. Deneysel roman anlayışını başlatır. Hayatı tüm çıplaklığı hatta çirkinliğiyle göstermeyi amaçlar. Bir otel odasında 1902'de duman zehirlenmesinden ölmüştür.
Emile Zola | Meyhane | Roman |  | - | Sevgilisi Lantier ile birlikte Paris'in kenar mahallelerinden birine yerleşen Gervaise Macquart'ın hikâyesini anlatır. Zola, bir işçi ailesinin kaçınılmaz düşüşünü içkinin ve aylaklığın sonucu olarak tasvir ederken 19. yüzyıl Paris'inin natüralist bir tablosunu sunar. | -
Emile Zola | Nana | Roman |  | - | Bir tiyatro oyuncusunun yükselişi ve sonra fahişelik yapmak zorunda kalışı anlatılır. | -
Emile Zola | Deneysel Roman | İnceleme / Kuram |  | - | Doğalcı roman anlayışını kuramsal olarak açıkladığı eseridir. | -
Goncourt Kardeşler (Edmond ve Jules) | Germine Lacerteux | Roman |  | - | Natüralizmin Zola'dan sonraki en önemli temsilcilerinden kabul edilen iki kardeşin romanıdır. | Goncourt Kardeşler (19. yy), Edmond de Goncourt ve Jules de Goncourt, Natüralizmin Emile Zola'dan sonra en önemli temsilcilerindendir.
Alphonse Daudet | Değirmenimden Mektuplar | Hikâye |  | - | Yazarın Provence bölgesindeki bir değirmenden yazdığı hikâyelerden oluşur. | Alphonse Daudet (19. yy), Realist ve Natüralist bir yazardır. Daha çok hikâyeleriyle tanınır. Mehmet Akif'in hayran olduğu, çok sanatlı bulduğu bir yazardır.
Alphonse Daudet | Pazartesi Hikâyeleri | Hikâye |  | - | Fransa-Prusya Savaşı dönemine ait hikâyelerini içerir; "Son Ders" en ünlüsüdür. | -
Alphonse Daudet | Jack | Roman |  | - | Annesi tarafından terk edilen bir çocuğun trajik hikâyesini anlatır. | -
Alphonse Daudet | Küçük Şey: Bir Çocuğun Yaşamı | Roman |  | - | Yazarın kendi çocukluğundan izler taşıyan romanıdır. | -
Guy de Maupassant | Güzel Dost | Roman |  | - | Yükselme hırsıyla dolu Georges Duroy'un kadınları kullanarak Paris sosyetesinde yükselişini anlatır. | Guy de Maupassant (19. yy), olaya dayalı hikâyenin kurucusu olan Realist ve Natüralist yazardır. Fransız edebiyatının en önemli hikâyecilerindendir.
Guy de Maupassant | Tombalak | Hikâye |  | - | Fransa-Prusya Savaşı sırasında işgal altındaki bir şehirde geçen ünlü hikâyesidir. | -
Guy de Maupassant | Ayışığı | Hikâye |  | - | Doğa ve insan ruhu arasındaki ilişkiyi işleyen lirik hikâyesidir. | -
Guy de Maupassant | Bir Hayat | Roman |  | - | Bir kadının hayal kırıklıklarıyla dolu yaşam öyküsüdür. | -
Jules Verne | Dünyanın Merkezine Seyahat | Roman / Bilim Kurgu |  | - | Yer altındaki gizemli dünyalara yapılan fantastik bir yolculuğu anlatır. | Jules Verne (1825-1905), bilim kurgu romanlarıyla tanınır. Önce tiyatro eserleri yazmış, 1863'te Olağanüstü Yolculuklar adlı dizinin ilk kitabı olarak yayımladığı Balonla Beş Hafta büyük ilgi görmüştür.
Jules Verne | Denizler Altında Yirmi Bin Fersah | Roman / Bilim Kurgu |  | - | Kaptan Nemo'nun Nautilus adlı denizaltısıyla yaptığı yolculukları anlatır. | -
Jules Verne | Seksen Günde Devr-i Alem | Roman / Macera |  | - | Phileas Fogg'un 80 günde dünyayı dolaşma macerasını anlatır. | -
Jules Verne | Balonla Beş Hafta | Roman / Macera |  | - | Afrika kıtasında balonla yapılan bir keşif yolculuğunu anlatır. | -
Jules Verne | Ay'a Yolculuk | Roman / Bilim Kurgu |  | - | Ay'a yapılan bir yolculuğu konu alır. | -
George Sand | İndiana | Roman |  | - | Tutkulu bir aşkı ve kadının toplumdaki yerini sorgulayan romanıdır. | George Sand (1804-1876), büyük çapta ünlenen ilk kadın Fransız yazar olarak bilinir. Fransız edebiyatının özellikle köy romanı türündeki eserleriyle ünlenmiştir.
George Sand | Köyün İkizleri | Roman |  | - | Barbeau babanın çiftliğinde doğan erkek ikizlerin (Sylvinet ve Landry) birbiriyle ve halkla yaşadıkları maceraları anlatır. Son yıllarında kusursuz bir ahlâk anlayışını işlemeye çalıştığı, masum ve şefkatli kahramanlarıyla öne çıkan eseridir. | -
George Sand | Lanetli Göl | Roman |  | - | Köy romanı türündeki eserlerindendir. | -
Anatole France | Sylvestre Bonnard'ın Suçu | Roman |  | Nobel Edebiyat Ödülü (1921) | Kitaplara düşkün yaşlı bir bilim adamının hikâyesini anlatır. | Anatole France (19-20. yy), Fransız şair, gazeteci ve romancıdır. İronik ve şüpheci bir özelliğe sahiptir.
Anatole France | Penguen Adası | Roman |  | - | Yolu bir adaya düşen yaşlı bir rahibin adadaki penguenleri insan sanıp Hristiyanlaştırması, Tanrının onları insana benzeterek yeni bir uygarlık kurması anlatılır. Fransız adaletsizliğinin eleştirildiği hicivli bir Fransa tarihi gibidir. | -
Anatole France | Tanrılar Susamışlardı | Roman |  | - | Fransız Devrimi'ni konu edinir. | -
Paul Bourget | Çömez (Le Disciple) | Roman |  | - | Pozitivist bir düşünürün genç öğrencisi üzerindeki zararlı etkilerini ele alır. Psikolojik roman türünün ilk örneklerindendir. | Paul Bourget (19-20. yy), eleştirmen, roman ve oyun yazarıdır. Realist bir yazardır. Deneme ve romanlarında döneminin pozitivist anlayışını eleştirmiştir. İlk romanları psikolojik roman türünün ilk örneklerindendir.
Marcel Proust | Kayıp Zamanın İzinde (Yedi cilt: Swann'ların Tarafı, Çiçek Açmış Genç Kızların Gölgesinde, Guermantes Tarafı, Sodom ve Gomorra, Mahpus, Albertine Kayıp, Yakalanan Zaman) | Roman |  | - | Modern Fransız edebiyatının temsilcisidir. Geçmiş zamana, çocukluğunun mutlu yıllarına özlem vardır. Daha çok "zaman" kavramını işler. Olaylar şiir ve felsefe ile harmanlanmış; geleneksel zaman kullanımının aksine geçmiş, şimdi ve gelecek tasavvuru birbirine karışmıştır. İnsan belleğinin ve hatırlamaların kurucu bir güç olarak kullanıldığı eser, Ahmet Hamdi Tanpınar'ın Huzur romanındaki zaman ve hatıralarla kurduğu anlatıyı etkilemiştir. | Marcel Proust (19-20. yy), modern Fransız edebiyatının temsilcilerindendir. Psikolojik realizmin temsilcisidir. Esasen "zaman" kavramını işlemiştir. Eserlerini Geçmiş/Kayıp Zamanın Peşinde başlığı altında toplar.
André Gide | Pastoral Senfoni | Roman |  | Nobel Edebiyat Ödülü (1947) | Protestan bir papaz ile himayesine aldığı kör ve yetim kızın hikâyesi anlatılır. Yazarın kendi çocukluk anılarının ve Katoliklik ile Protestanlık arasındaki ikileminin izleri sürülebilir. "Körlük" ve "günah" kavramları metinde önemli bir yer tutar. | André Gide (19-20. yy), dünya zevklerine düşkünlüğünü anlatan, genel ahlak karşısında bireysel özgürlükleri savunan yazardır.
André Gide | Dar Kapı | Roman |  | - | Dini inançları uğruna dünyevi aşktan vazgeçen bir kadının öyküsüdür. | -
André Gide | Kalpazanlar | Roman |  | - | Çoklu anlatıcı tekniğiyle yazılmış, romanın nasıl yazıldığını da konu alan deneysel romanıdır. | -
André Gide | Dünya Nimetleri | Düzyazı Şiir |  | - | Lirik düzyazı şiiridir; yaşama sevincini ve duyuların hazzını över. | -
Jean-Paul Sartre | Bulantı | Roman |  | Nobel Edebiyat Ödülü (1964, reddetti) | Günlük biçiminde yazılan kitapta, romanın kahramanı Roquentin'in dünya karşısında duyduğu tiksinti anlatılır. Bu tiksinti yalnızca dış dünyaya değil, kendi bedenine de yöneliktir. "Varoluş"la yüz yüze gelen Roquentin'in geçirdiği değişimi anlatan Bulantı, Varoluşçuluğun kült kitaplarından biridir. | Jean-Paul Sartre (20. yy), Varoluşçuluk (Egzistansiyalizm) akımının kurucusudur. Özellikle "özgürlük" ve "seçme" kavramları üzerinde durur. "Felsefi roman" kavramını savunur. "Varoluş özden önce gelir" sözüyle tanınır. 1964 yılında layık görüldüğü Nobel Edebiyat Ödülü'nü reddetmiştir.
Jean-Paul Sartre | Özgürlük Yolları (Üç kitap: Akıl Çağı, Yaşanmayan Zaman, Yıkılış) | Roman |  | - | 1937-1938 yıllarında geçen, kendilerini arayan ve kendilerinden kaçan kişilerin öyküsünü anlatan roman dizisidir. | -
Jean-Paul Sartre | Duvar | Hikâye |  | - | İspanya İç Savaşı sırasında idamı bekleyen mahkûmların psikolojisini işleyen hikâyelerdir. | -
Jean-Paul Sartre | Sinekler | Tiyatro |  | - | Yunan mitolojisindeki Orestes öyküsünü Varoluşçu bir bakışla yeniden ele alır. | -
Jean-Paul Sartre | Kirli Eller | Tiyatro |  | - | Siyasi bir cinayet ve parti sadakati üzerine kurulu oyunudur. | -
Albert Camus | Yabancı | Roman |  | Nobel Edebiyat Ödülü (1957) | Cezayir'de, bir rastlantı sonucu bir Arap'ı öldüren orta sınıftan bir Fransız olan Meursault'un kendisini adım adım ölüme götüren süreci kayıtsız biçimde izlemesini anlatır. Topluma, kendine, ölümü bile kabul edebilecek kadar hayata, kısacası tüm varoluşa yabancılaşması yalın bir dille anlatılır. Yusuf Atılgan ve Ferit Edgü gibi modern Türk yazarlarını etkilemiştir. | Albert Camus (20. yy), Varoluşçuluk (Egzistansiyalizm) akımının temsilcisidir. Daha çok "saçma" kavramını irdeler. Bireyin kendine ve çevreye yabancılaşmasını anlatır. Ölüm, anlamsızlık, nihilizm temalarını sıklıkla işlemiştir. Cezayir doğumludur.
Albert Camus | Veba | Roman |  | - | Cezayir'in Oran kentinde baş gösteren veba salgını karşısında insanların tepkilerini anlatır. Fransız işgali altındaki şehir, salgının da baş göstermesiyle büyük bir çıkmaza girer. Felaketin yazıya dönüşmesini konu alır. | -
Albert Camus | Düşüş | Roman |  | - | Eski bir Parisli avukatın Amsterdam'da bir barda hayatını sorgulamasını anlatır. | -
Albert Camus | Yanlışlık | Tiyatro |  | - | Yıllar sonra tanımadığı annesi ve kız kardeşinin işlettiği hana gelen bir adamın öldürülmesini konu alır. Absürt tiyatronun örneklerindendir. | -
Albert Camus | Caligula | Tiyatro |  | - | Roma İmparatoru Caligula'nın saçma özgürlük arayışını anlatır. | -
Milan Kundera | Varolmanın Dayanılmaz Hafifliği | Roman |  | - | Tepkiye karşı tepkisizliği, kararlılığa karşı kararsızlığın tutarlı ve erdemli yanlarını araştırır. Sovyetlerin Çekoslovakya'yı işgal günlerini arka planda anlatır. "Varolmanın dayanılmaz hafifliği"ne mahkûmiyet mesajı verilir. | Milan Kundera (1929-2023), Çek asıllı Fransız romancıdır. Son Varoluşçu yazarlardan biridir.
Paul Verlaine | Şiir Sanatı (Art Poétique) | Şiir |  | - | Sembolist şiirin ilkelerini ortaya koyduğu ünlü manifestosudur. "Musiki, her şeyden önce musiki" dizesiyle başlar. | Paul Verlaine (19. yy), Sembolist bir şairdir. Varlığı doğrudan anlatmak yerine zihinde çağrıştırmak ister. Saf şiirin ve modern Batı şiirinin öncülerindendir.
Paul Verlaine | Sözsüz Romanlar | Şiir |  | - | Sembolist şiirinin önemli örneklerindendir. | -
Paul Verlaine | Güzel Şarkı | Şiir |  | - | Nişanlısına yazdığı şiirlerden oluşur. | -
