Aleksandr Puşkin | Yüzbaşının Kızı | Roman |  | - | Pugaçov İsyanı döneminde geçen tarihi ve romantik romanıdır. | Aleksandr Puşkin (19. yy), modern Rus edebiyatının kurucusu kabul edilen şair ve yazardır.
Lev Tolstoy | İnsan Ne ile Yaşar | Hikâye |  | - | İnsanın özünde iyilik olduğunu vurgulayan öykülerden oluşur. Şeytan ve meleği temsil eden karakterler aracılığıyla insanın er ya da geç iyiliğin peşinden gidebileceğini anlatır. | -
Lev Tolstoy | Diriliş (Ölümden Sonra Dirilme) | Roman |  | - | Genç bir aristokratın, jüri üyesi olarak karşısına çıkan ve geçmişte baştan çıkardığı bir kadın aracılığıyla ruhsal uyanışını ve kefaret arayışını anlatır. | -
Lev Tolstoy | İvan İlyiç'in Ölümü | Roman |  | - | Sıradan bir bürokratın ölümle yüzleşmesini ve hayatını sorgulamasını konu alır. | -
Lev Tolstoy | Kazaklar | Roman |  | - | Kafkasya'da geçen, doğaya ve sade yaşama duyulan özlemi anlatan romanıdır. | -
Nikolay Gogol | Ölü Canlar | Roman |  | - | Çiçikov adlı bir dolandırıcının, ölen köleleri (ölü canlar) satın alarak zengin olma planını konu alır. Taşlamalı bir üslupla Rus toplumunun yozlaşmışlığını işler. | Nikolay Gogol (19. yy), Rus toplumsal gerçekçiliğinin ve güldürü edebiyatının kurucularındandır. Dostoyevski'nin "Hepimiz Gogol'ün Palto'sundan çıktık" sözüyle andığı yazardır.
Nikolay Gogol | Palto | Uzun Hikâye |  | - | Yoksul bir memurun paltosunun çalınması üzerine gelişen trajikomik öyküdür. Realist roman türünün kökeni sayılır. | -
Nikolay Gogol | Müfettiş | Tiyatro |  | - | Yanlışlıkla müfettiş sanılan bir adamın kasabadaki yozlaşmayı ortaya çıkarmasını anlatır. | -
İvan Gonçarov | Oblomov | Roman |  | - | Varlıklı ve soylu bir aileden gelen Oblomov, çalışma ihtiyacı duymadan rahatça geçinen, ancak aşırı tembelliği yüzünden hiçbir kararını hayata geçiremeyen bir adamdır. Evliliğin getirdiği sorumluluktan dolayı Olga ile evlenmekten bile vazgeçer. "Oblomovluk" kavramı bu karakterden doğmuştur. | İvan Gonçarov (19. yy), sembolik Oblomov karakteriyle gündelik dile Oblomovluk kavramını kazandırmıştır. Hayalci gelenekçilik ile aşırı pragmatizm arasındaki uçurumu işlemiştir.
Yevgeni Zamyatin | Biz | Roman / Distopya |  | - | 200 yıllık savaşların ardından tüm insanların cam duvarlarla çevrili Tek Devlet'te yaşadığı geleceği anlatır. Bireyler ad yerine numara taşır. Matematikçi D-503, devrimci I-330'a âşık olunca "düşgücü ameliyatı" ile hayal gücü yok edilir. Batı edebiyatının ilk büyük anti-ütopyası kabul edilir; Orwell'in 1984'üne esin vermiştir. | Yevgeni Zamyatin (19-20. yy), Rus yazardır. Biz adlı romanı Sovyetler'de sakıncalı bulunup 1924'te önce Birleşik Krallık'ta yayımlanmış, Sovyetler'de ancak 1988'de basılabilmiştir.
Anton Çehov | Vişne Bahçesi | Tiyatro |  | - | İhtilal öncesi umutsuzca yaşayan soyluların ve aydınların iç dünyasını yansıtır. Ailenin elinden çıkmak üzere olan vişne bahçesi, geçmişin ve aristokrasinin yok oluşunu simgeler. | Anton Çehov (19. yy), durum öykücülüğünün kurucusudur. Oyunlarında ihtilal öncesi umutsuzca yaşayan soyluların ve aydınların iç dünyasını yansıtmıştır. Dünya edebiyatında kısa öykünün en büyük ustalarından biridir.
Anton Çehov | (Durum öyküleri) | Hikâye |  | - | Serim, düğüm, çözüm planına uyulmaz. Belli bir sonuç yoktur. Merak ve heyecandan çok duygu ve hayallere yer verilir. Olayların ve durumların akışı okuyucunun hayal gücüne bırakılır. Türk edebiyatındaki en güçlü temsilcileri Sait Faik Abasıyanık, Memduh Şevket Esendal ve Tarık Buğra'dır. | -
Grigori Petrov | Beyaz Zambaklar Ülkesinde | Gezi / Düşünce |  | - | 1800'lerin son döneminde Finlandiya halkının cehaletten kurtulmak için bir avuç Fin aydınının verdiği olağanüstü mücadeleyi anlatır. Balkanlarda ve genç Türkiye Cumhuriyeti'nde büyük ilgiyle karşılanmıştır. | Grigori Petrov (19-20. yy), Rus hatip, gazeteci ve yazardır. Ekim Devrimi sonrası ülkesinden ayrılıp Yugoslavya'da yaşamış; eserleri özellikle Türkiye'de etkili olmuştur.
Vladimir Mayakovski | Pantolonlu Bulut | Şiir |  | - | Fütürizmin en önemli temsilcilerinden olan Mayakovski'nin başyapıtlarından biridir. Devrimci coşku ve bireysel başkaldırı iç içedir. | Vladimir Mayakovski (19-20. yy), şair, oyun yazarı. Fütürizmin en önemli temsilcilerindendir. Türk edebiyatında Nazım Hikmet'i etkilemiştir.
Vladimir Mayakovski | Omurganın Kavalı | Şiir |  | - | Fütürist şiir anlayışıyla yazılmış, aşk ve yalnızlık temalarını işleyen şiir kitabıdır. | -
Vladimir Mayakovski | Lenin Destanı | Şiir |  | - | Lenin'in ölümü üzerine yazılmış, devrimci lideri yücelten uzun şiiridir. | -
