Beydeba | Kelile ve Dimne | Fabl | 2017 Türkçe ÖABT'de sorulmuştur. |  | Doğu edebiyatının en önemli fabl örneklerindendir. | Antik Hindistan'da yaşamış, \"Kelile ve Dimne\" adlı dünyaca ünlü fabl ve masal kitabının yazarı kabul edilen bilge.
George Sand | Köyün İkizleri | Roman |  |  | Bir çiftlikte doğan ve birbirlerine çok benzeyen Sylvinet ve Landry adlı iki erkek kardeşin büyüdükçe farklılaşmalarını ve yaşadıkları maceraları anlatır. Ayrıca Fadette adında bir kızın hikayesi de eserde önemli bir yer tutar. | 
Alexandre Dumas | Üç Silahşörler | Roman |  |  | (1844) Genç d'Artagnan, Paris'te Athos, Porthos ve Aramis adındaki üç silahşörle tanışır. 'Birimiz hepimiz, hepimiz birimiz için' mottosuyla hareket ederek politik entrikaların ortasında mücadele ederler. | 
J. J. Rousseau | Emile | Roman |  |  | (1762) Eğitim üzerine yazılmış bir romandır. Ziya Paşa tarafından Türkçeye tercüme edilmiştir. | 
Louisa May Alcott | Küçük Kadınlar | Roman |  |  | (1868) | 
Charles Dickens | David Copperfield | Roman |  |  | (1850) David Copperfield, babasını doğmadan önce kaybeder. Annesinin sert üvey babasıyla evlenmesiyle hayatı zorlaşır. Teyzesi tarafından kurtarılır ve iyi bir eğitim alır. Zorluklarla dolu geçmişine rağmen olgunlaşır ve yazar olarak başarılı bir kariyer kurar. | 
Charles Dickens | Oliver Twist | Roman |  |  | (1838) | 
John Newbery | Ana Kaz (Mother Goose) | Tekerleme/Şarkı Derlemesi |  |  | 'Çocuk Edebiyatının Babası' olarak bilinir. İngiltere'de çocukların yaş ve ilgi düzeylerini göz önünde bulundurarak kitap yazan ilk yazardır. | 
Rudyard Kipling | Orman Kitabı | Öykü |  |  | (1894) | 
Anna Sewell | Siyah İnci | Roman |  |  | (1877) | 
J.K. Rowling | Harry Potter | Roman Serisi |  |  | (1997) | 
Howard Pyle | Robin Hood | Roman |  |  | (1883) Robin Hood, Sherwood Ormanı'nda bir haydut çetesi kurarak yoksullara yardım eder. Zenginlerden alıp fakirlere dağıtır. Halk tarafından çok sevilir. Kralın hizmetine girer ancak sarayda mutlu olamaz ve ormana döner. Kuzeni tarafından tuzağa düşürülüp öldürülür. | 
Roald Dahl | Charlie'nin Çikolata Fabrikası | Roman |  |  | (1964) | 
Selma Lagerlöf | Nils Holgerson'un Eşsiz İsveç Yolculuğu | Roman |  |  | (1906-1907) Nobel Edebiyat Ödülü'nü alan ilk kadın yazar ve ilk İsveç'li yazardır. | 
Carlo Collodi | Pinokyo | Roman |  |  | (1883) Marangoz Geppetto Usta'nın yaptığı kukla Pinokyo, yaramaz ve yalan söyleyen bir kukladır. Yalan söylediğinde burnu uzar. Bir Peri tarafından uslu bir çocuk olursa gerçek insana çevrileceği söylenir. Sonunda akıllı bir çocuk olur ve gerçek bir insana dönüşür. | 
Miguel de Cervantes | Don Kişot | Roman |  | 
Johanna Spyri | Heidi | Roman |  |  | (1880) Heidi, küçük yaşta anne ve babasını kaybeder. Teyzesi onu dedesi Alm-Oehi'nin yanına bırakır. Heidi, sevimli tavırlarıyla dedesinin sevgisini kazanır. Frankfurt'a Klara'ya arkadaşlık yapmaya gider. Köyüne döndükten sonra Klara'yı da ağırlar ve Alp Dağları'nın temiz havası Klara'nın yeniden yürümesine yardımcı olur. | 
James M. Barrie | Peter Pan | Roman/Oyun |  |  | (1904) Peter Pan, Düşler Ülkesi'nde yaşayan ve büyümeyi reddettiği için hep çocuk kalan bir peridir. Darling ailesinin çocukları Wendy, John ve Micheal'ı Düşler Ülkesi'ne götürür. Kaptan Kanca'yı yenerek çocukları eve geri gönderir. | 
Ferenc Molnar | Pal Sokağı Çocukları | Roman |  |  | (1906) Budapeşte'de yaşayan bir grup çocuğun 'Pal Sokağı'ndaki boş arsayı savunma mücadelesini anlatır. Grubun en küçük ve en zayıf üyesi Nemecsek, büyük bir cesaret ve fedakarlık gösterir ve sonunda hastalanarak hayatını kaybeder. | 
Christine Nöstlinger | Alev Saçlı Çocuk | Roman |  |  | | 
Christine Nöstlinger | Lollipop | Roman |  |  | | 
Christine Nöstlinger | Kim Takar Salatalık Kral'ı | Roman |  |  | | 
Christine Nöstlinger | Curcuna Evi | Roman |  |  | | 
Christine Nöstlinger | Küçük Korsan İş Başında | Roman |  |  | | 
Christy Brown | Sol Ayağım | Otobiyografik Roman |  |  | (1954) | 
Herman Melville | Moby Dick | Roman |  |  | (1851) 'Bana İsmail deyin' cümlesiyle başlar. Kaptan Ahab'ın, Moby Dick adlı beyaz balinanın peşinde yaşadığı macerayı anlatır. | 
Aldous Huxley | Cesur Yeni Dünya | Roman |  |  | (1932) Distopya türünün önemli örneklerindendir. Dünya Devleti'nde insanlar genetik olarak sınıflandırılır (Alfalar, Betalar, Gamalar, Deltalar, Epsilonlar) ve şartlandırma ile toplumsal rollerine uyum sağlamaları sağlanır. | 
Anatole France | Penguenler Adası | Roman |  |  | (1908) Aziz Maël'in penguenleri yanlışlıkla vaftiz etmesiyle başlayan olay, penguenlerin insana dönüşmesi ve medeniyet kurmalarını hicivli bir dille anlatır. | 
Herge | Tenten'in Maceraları | Çizgi Roman |  |  | (1929) Gazeteci Tenten ve sadık köpeği Milou'nun dünyayı dolaşarak gizemleri çözdüğü, suçlularla mücadele ettiği çizgi roman serisidir. | 
Edmondo De Amicis | Çocuk Kalbi | Roman |  |  | (1886) İlköğretim üçüncü sınıf öğrencisi Enrico Bottini'nin gözünden yazılmış, arkadaşlık, aile sevgisi ve vatan sevgisini işleyen bir romandır. | 
Astrid Lindgren | Şamatalı Köy | Roman |  |  | Şamatalı Köy'de yaşayan altı çocuğun eğlenceli yaşamını ve maceralarını anlatır. Karakterler: Lisa, Losse, Bosse, Britta, Anna, Kristin Teyze, Murre (kedi), Suipp (köpek), Snäll. | 
Samed Behrengi | Küçük Kara Balık | Masal/Öykü |  |  | | 
Samed Behrengi | Bir Şeftali Bin Şeftali | Masal/Öykü |  |  | | 
Samed Behrengi | Sevgi Masalı | Masal |  |  | | 
Samed Behrengi | Püsküllü Deve | Masal/Öykü |  |  | | 
John Comenius | Orbis Sensualium Pictus (Görünen Dünyanın Resimleri) | Resimli Çocuk Kitabı |  |  | (1658) Dünyada ilk resimli çocuk kitabıdır. | 
